ticker,error,name,long_name,sector,industry,country,market_cap,enterprise_value,pe_ratio,forward_pe,peg_ratio,price_to_book,price_to_sales,ev_to_ebitda,ev_to_revenue,roe,roa,operating_margin,profit_margin,gross_margin,ebitda_margin,revenue_growth,earnings_growth,quarterly_revenue_growth,quarterly_earnings_growth,debt_to_equity,current_ratio,quick_ratio,total_cash,total_debt,free_cash_flow,operating_cash_flow,beta,insider_ownership,institutional_ownership,shares_outstanding,float_shares,short_percent,price,week52_high,week52_low,avg_volume,recommendation,passed_filters,quality_score,growth_score,health_score,valuation_score,momentum_score,composite_score,multibagger_score,rationale,technical_error,current_price,rsi_14,ma_50,ma_200,pct_from_200ma,pct_from_52w_high,technical_score,supertrend_daily_signal,supertrend_daily_days,supertrend_weekly_signal,supertrend_weekly_weeks
PARR,,"Par Pacific Holdings, Inc. Comm","Par Pacific Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,United States,3959373568.0,4945013760.0,4.25121,6.6876984,,1.9643078,0.4593883,3.858,0.574,0.53489,0.16871001,0.21122,0.09942,0.23056,0.1487,0.568,6.991,,6.772,0.5616599999999999,1.84,0.524,184996992.0,1134023040.0,82314872.0,555019008.0,0.79,0.026029998,1.0264801,50099627.0,48650746.0,0.1276,79.03,87.03,31.23,976741.0,buy,True,0.3552514814419013,2.25,-0.7899307297187456,1.3086552049083688,0.8228967219184956,0.7090358788350641,9.2,"Solid growth (revenue +57%, EPS +699%); reasonable valuation (P/E 4). Balance sheet worth monitoring.",,79.03,54.4,69.11,54.19,45.8,8.1,6.0,BUY,7,BUY,25
HRMY,,"Harmony Biosciences Holdings, I","Harmony Biosciences Holdings, Inc.",Healthcare,Biotechnology,United States,2221718528.0,1714118400.0,12.306453,5.705646,,2.2189262,2.314536,6.696,1.786,0.20456,0.1162,0.34183997,0.18884,0.75424004,0.26668,0.303,0.882,,0.896,0.16030999999999998,3.479,3.327,667790976.0,160191008.0,182835504.0,355076992.0,0.913,0.11627,0.99621004,58236393.0,52084300.0,0.1031,38.15,40.87,25.52,832812.0,buy,True,0.5902077599812284,0.9147055170723513,0.425729780044186,0.9662575475955816,0.6944768513057034,0.6918336269781252,9.1,"Reasonable valuation (P/E 12); solid growth (revenue +30%, EPS +88%). Balance sheet worth monitoring.",,38.15,53.5,36.3,33.84,12.8,5.8,9.0,BUY,14,BUY,9
CARG,,"CarGurus, Inc.","CarGurus, Inc. Class A Common Stock",Consumer Cyclical,Auto & Truck Dealerships,United States,3282357504.0,3345363712.0,18.994844,12.26367,1.0796,13.968915,3.3934138,12.26,3.459,0.53470004,0.2502,0.25275,0.18189,0.92375,0.2821,0.131,1.41,,1.202,0.7003499999999999,1.85,1.515,122136000.0,185142000.0,241320752.0,318721984.0,1.166,0.03017,1.09082,75309865.0,72873685.0,0.16440001,36.85,41.22,26.39,1268646.0,buy,True,1.5133248023652968,0.9787784345112548,-0.46599673567183686,0.5678559807390886,0.2485341057082934,0.6797979678157214,9.0,"Strong profitability (ROE 53%, op margin 25%); solid growth (revenue +13%, EPS +141%). Balance sheet worth monitoring.",,36.85,54.0,34.41,33.92,8.6,5.6,9.0,BUY,43,BUY,8
ESNT,,Essent Group Ltd.,Essent Group Ltd.,Financial Services,Insurance - Specialty,Bermuda,6117893120.0,5915645952.0,9.560393,8.665708,,1.0802532,4.6242857,6.892,4.471,0.12009,0.07202,0.6575,0.51452,0.76005995,0.64882004,0.136,0.078,,-0.029,0.08757,1.791,1.101,698219008.0,495972000.0,690249472.0,834083008.0,0.758,0.05565,0.97705,89876493.0,86606786.0,0.0425,68.07,70.37,55.34,755975.0,buy,True,1.4329024674366078,-0.43269959635551747,0.5416434205643149,0.7447995157346201,0.7862337038247303,0.6081383088346112,8.9,"Strong profitability (ROE 12%, op margin 66%); constructive price momentum. Growth is modest — more of a compounder.",,68.07,55.3,64.95,62.31,9.2,2.2,7.5,BUY,47,BUY,8
SEIC,,SEI Investments Company,SEI Investments Company,Financial Services,Asset Management,United States,13145701376.0,13139558400.0,18.982668,15.835678,2.0713,5.2570195,5.3650756,17.296,5.363,0.27587998,0.14759,0.30706,0.28847998,0.78388,0.31004,0.147,-0.107,,-0.138,0.02383,5.059,4.765,421196000.0,67852000.0,377482240.0,712024000.0,0.962,0.15633,0.77566004,120019182.0,99411888.0,0.0179,109.53,109.75,75.08,683563.0,none,True,1.0148809846130924,-0.5714810043037307,1.3434295755503012,0.0007958117178579527,1.343050609223334,0.5647233404144157,8.8,"Healthy balance sheet (D/E 0.02, CR 5.1); constructive price momentum. Growth is modest — more of a compounder.",,109.53,78.6,97.92,87.25,25.5,0.0,2.0,BUY,36,BUY,18
CNS,,Cohen & Steers Inc,,Financial Services,Asset Management,United States,4186740992.0,4144515328.0,24.899082,20.474417,2.0362,7.1028523,7.1704035,20.415,7.098,0.27329,0.14536001,0.34554002,0.28824,0.47300997,0.3477,0.122,0.319,,0.339,0.19326000000000002,6.638,6.6,282608992.0,134390000.0,156940496.0,72166000.0,1.202,0.45803002,0.57966,51421533.0,27692038.0,0.0385,81.42,86.56,58.39,279695.0,hold,True,0.9170560122237243,-0.13034521007943572,1.42633564509217,-0.4434869982281807,0.6744907594765953,0.5663159006599036,8.8,"Healthy balance sheet (D/E 0.19, CR 6.6); strong profitability (ROE 27%, op margin 35%). Valuation looks stretched.",,81.42,48.1,79.98,69.52,17.1,4.9,7.5,BUY,88,BUY,16
RELY,,"Remitly Global, Inc.","Remitly Global, Inc.",Technology,Software - Infrastructure,United States,5645613568.0,5007483904.0,17.78,16.512705,,5.009392,3.119763,25.137,2.767,0.32246,0.08542,0.14324,0.16855,0.61548,0.110080004,0.202,30.0,,30.504,0.03396,3.181,2.524,676393984.0,38264000.0,196120992.0,406121984.0,0.343,0.053940002,0.88768995,211684054.0,200119754.0,0.0705,26.67,27.15,12.08,3672783.0,strong_buy,True,-0.0334283619781518,1.5210778362336437,0.3356658878632891,0.032653419538238596,1.2462282620313292,0.5213668484630898,8.7,"Solid growth (revenue +20%, EPS +3000%); constructive price momentum. Profitability is the softer spot.",,26.67,61.8,23.28,18.06,47.7,0.0,3.0,BUY,12,BUY,8
CRUS,,"Cirrus Logic, Inc.","Cirrus Logic, Inc.",Technology,Semiconductors,United States,5780058112.0,5019260416.0,14.291203,12.958137,,2.6576183,2.8197744,9.566,2.449,0.20903999,0.12163,0.18367,0.21004999,0.52785,0.25597,0.129,0.289,,0.266,0.0596,7.583,5.894,891262016.0,130464000.0,450997248.0,598595008.0,1.184,0.00563,1.08179,50117561.0,49633425.0,0.0793,115.33,180.42,109.88,669911.0,buy,True,0.22993732042503764,-0.17020275635140147,1.9797722859064097,0.6303997418187379,-2.135659924694839,0.509150543554332,8.6,"Healthy balance sheet (D/E 0.06, CR 7.6); reasonable valuation (P/E 14). Recent price action is soft.",,115.33,26.1,139.46,140.45,-17.9,35.5,4.5,SELL,51,SELL,6
LQDA,,Liquidia Corporation,Liquidia Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,United States,6142099968.0,6040815104.0,50.82963,12.145133,,31.333334,13.621655,35.583,13.397,1.3181599,0.27039,0.49812,0.30739,0.92542,0.3765,18.427,,,,0.93738,2.312,2.075,284180992.0,182896000.0,74296128.0,167708000.0,0.572,0.12550001,0.81931,89508891.0,63236241.0,0.1671,68.62,93.61,21.15,1928425.0,buy,True,2.2963805815667553,0.75,-0.6977754255608347,-1.4187712324647372,0.05794397107750834,0.49205183176398276,8.5,"Strong profitability (ROE 132%, op margin 50%); solid growth (revenue +1843%). Valuation looks stretched.",,68.62,35.8,79.15,49.26,39.3,24.6,8.0,SELL,7,BUY,15
MLI,,"Mueller Industries, Inc.",,Industrials,Metal Fabrication,United States,13983087616.0,12618048512.0,16.12755,14.43379,,3.9413965,2.9999306,11.583,2.707,0.26325,0.16493,0.2181,0.18247,0.28776,0.23372,0.255,0.018,,0.015,0.0069099999999999995,4.775,3.655,1415988992.0,24684000.0,524939744.0,743283968.0,1.122,0.02123,0.95093,221181388.0,216207019.0,0.021300001,63.22,71.12,45.57,1422257.0,strong_buy,True,0.2610020998635706,-0.16495886234326895,1.3260423052509898,0.4921456064507853,0.19339708582348678,0.4520631859447935,8.4,"Healthy balance sheet (D/E 0.01, CR 4.8); reasonable valuation (P/E 16). Growth is modest — more of a compounder.",,63.22,43.4,63.97,61.36,3.0,10.2,9.5,SELL,4,BUY,3
